arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,19,0.002309506949675349,50,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,20,0.002634670791979716,36,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,21,0.0020902035635813696,61,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,22,0.09238941671598354,2,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,23,0.0020412203307556363,63,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,24,0.0024363822327029506,45,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,25,0.0025774893467224616,38,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,26,0.0021000930415033103,60,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,27,0.08788192449973016,5,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,28,0.04538525045264361,9,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,29,0.0056120281891233244,17,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,30,0.003407762315433808,24,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,31,0.0735261226852041,8,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,32,0.004522765347637158,20,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,33,0.002320946168204528,48,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,34,0.0019017024110362143,70,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,35,0.002654572288608992,35,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,36,0.0021389128448330128,56,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,37,0.005533180269174414,18,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,38,0.08920123058150922,4,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,39,0.0021380446082424104,57,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,40,0.0023183950384653225,49,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,41,0.003492111423346467,23,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,42,0.0033386142729250456,25,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,43,0.09219456110391434,3,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,44,0.01479472227140951,12,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,45,0.002119825868645947,59,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,46,0.0025155222977946796,41,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,47,0.002188847647895571,54,0.013352513336713109
