arch,condition,seed,task,rho,wd,step,step_req,grok_step,basis,side,mode,energy_share,rank,dc_share
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,63,0.013586251170652236,32,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,64,0.01211654491539501,72,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,65,0.01226130361301509,70,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,66,0.01389877598369045,22,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,67,0.014870419586610681,6,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,68,0.012736353292895998,63,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,69,0.013460020665064288,34,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,70,0.015931543648708184,2,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,71,0.014872551058461438,5,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,72,0.013809390953742002,26,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,73,0.014300517043885025,15,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,74,0.013271883037474948,40,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,1,0.010068172730694339,43,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,2,0.009810951515328107,48,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,3,0.009827029345451953,47,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,4,0.009449366816627154,54,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,5,0.009237080856249696,59,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,6,0.009090749039168606,64,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,7,0.009553253035339984,53,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,8,0.010966774604806538,32,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,9,0.011204513586774708,27,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,10,0.011462885189525084,25,0.004056284922439116
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,250,0.5g,450,natural,in,11,0.013468890862062093,14,0.004056284922439116
