condition,arch,task,joint,rho,wd,seed,grok_step,non_grokking,steps_run,cap,t_half_test_acc,t_switch_rule_or_rulex,mech_metric,t_half_mech,t_half_mech_corrected,mech_window_start,t_train_mem_reg,t_gen_persist,W_mem_to_gen_reg,t_half_mech_finalmode,mech_mode_stable,mech_final_mode,t_half_mech_use,regime_seq,switch_rel_grok,peak_overreg,t_peak_overreg,t_exc_memorized,acc_exc_at_grok,mem_to_grok_ratio,final_acc_exc,final_overreg
transformer_add_rho0.02_wd0.1_tiersNone,transformer,add,False,0.02,0.1,1002,300.0,False,3000,20000,236.13012810817273,175.0,fourier_conc_final_eq,136.9846249000451,136.9846249000451,,300.0,300.0,0.0,22.360679774997894,False,72.0,136.9846249000451,gcm>rulex,0.5833333333333334,0.8693693693693694,325.0,3000.0,0.0675675675675675,10.0,0.9414414414414416,0.054054054054054
transformer_add_rho0.02_wd0.3_tiersNone,transformer,add,False,0.02,0.3,1000,350.0,False,3500,20000,297.6009597298532,225.0,fourier_conc_final_eq,149.12864108842126,149.12864108842126,,350.0,350.0,0.0,,False,13.0,149.12864108842126,uniform>gcm>rulex,0.6428571428571429,0.8018018018018018,350.0,3250.0,0.1531531531531531,9.285714285714286,0.9054054054054054,0.09009009009009
transformer_add_rho0.02_wd0.3_tiersNone,transformer,add,False,0.02,0.3,1001,400.0,False,4000,20000,316.0189633415735,200.0,fourier_conc_final_eq,129.58772171448175,129.58772171448175,,350.0,400.0,50.0,,False,14.0,129.58772171448175,uniform>gcm>rulex,0.5,0.7342342342342343,375.0,2800.0,0.2477477477477477,7.0,0.9504504504504504,0.0495495495495495
transformer_add_rho0.02_wd0.3_tiersNone,transformer,add,False,0.02,0.3,1002,300.0,False,3000,20000,229.86280119935108,175.0,fourier_conc_final_eq,135.95056457470335,135.95056457470335,,275.0,300.0,25.0,17.320508075688775,False,72.0,135.95056457470335,gcm>rulex,0.5833333333333334,0.90990990990991,325.0,,0.0405405405405405,,0.8918918918918919,0.1081081081081081
transformer_add_rho0.05_wd0.1_tiersNone,transformer,add,False,0.05,0.1,1000,950.0,False,9500,20000,341.80344096061333,225.0,fourier_conc_final_eq,150.47159757883287,150.47159757883287,,475.0,1025.0,550.0,450.0,False,47.0,150.47159757883287,uniform>gcm>rulex,0.23684210526315788,0.4018018018018018,450.0,1775.0,0.8216216216216217,1.868421052631579,0.9981981981981982,0.0018018018018018
transformer_add_rho0.05_wd0.1_tiersNone,transformer,add,False,0.05,0.1,1001,550.0,False,5500,20000,290.6650814396785,200.0,fourier_conc_final_eq,136.86558501355805,136.86558501355805,,350.0,550.0,200.0,350.0,False,9.0,136.86558501355805,uniform>gcm>rulex,0.36363636363636365,0.5963963963963964,375.0,1950.0,0.6,3.5454545454545454,0.990990990990991,0.0036036036036036
transformer_add_rho0.05_wd0.1_tiersNone,transformer,add,False,0.05,0.1,1002,400.0,False,4000,20000,280.72810562275333,200.0,fourier_conc_final_eq,148.06091049952605,148.06091049952605,,325.0,400.0,75.0,275.0,False,26.0,148.06091049952605,gcm>rulex,0.5,0.6756756756756757,350.0,1950.0,0.4126126126126126,4.875,0.9945945945945946,0.0018018018018018
transformer_add_rho0.05_wd0.3_tiersNone,transformer,add,False,0.05,0.3,1000,575.0,False,5750,20000,322.70667329186153,225.0,fourier_conc_final_eq,149.87561819530518,149.87561819530518,,425.0,575.0,150.0,,False,63.0,149.87561819530518,uniform>gcm>rulex,0.391304347826087,0.5801801801801801,425.0,2550.0,0.5297297297297298,4.434782608695652,0.981981981981982,0.018018018018018
transformer_add_rho0.05_wd0.3_tiersNone,transformer,add,False,0.05,0.3,1001,425.0,False,4250,20000,282.64110341227985,200.0,fourier_conc_final_eq,136.00739390103794,136.00739390103794,,325.0,425.0,100.0,350.0,False,9.0,136.00739390103794,uniform>gcm>rulex,0.47058823529411764,0.6936936936936937,350.0,2475.0,0.3657657657657657,5.823529411764706,0.9711711711711712,0.027027027027027
transformer_add_rho0.05_wd0.3_tiersNone,transformer,add,False,0.05,0.3,1002,350.0,False,3500,20000,275.44236702946176,200.0,fourier_conc_final_eq,147.55553129899783,147.55553129899783,,325.0,350.0,25.0,300.0,False,26.0,147.55553129899783,gcm>rulex,0.5714285714285714,0.7549549549549549,325.0,2175.0,0.1729729729729729,6.214285714285714,0.9693693693693692,0.0306306306306306
